driver_id,trip_id,start_ts,end_ts,miles,night_miles,mean_speed,max_speed_over_limit,accel_events_per_100mi,brake_events_per_100mi,phone_use_ratio,rain_flag,incident_density,label
D 006,T000425,2025-08-30T05:57:54.871257,2025-08-30T06:35:54.871257,1.82,0.26,25.7,16.8,11.0,9.1,0.505,0,0.273,0
D 101,T000426,2025-07-18T13:10:54.871257,2025-07-18T13:43:54.871257,0.79,0.09,24.5,0.0,0.1,9.7,0.092,0,0.238,0
D 068,T000427,2025-08-07T04:23:54.871257,2025-08-07T05:09:54.871257,1.86,0.2,30.5,14.5,15.6,10.0,0.246,0,0.428,0
D 009,T000428,2025-07-27T22:31:54.871257,2025-07-27T23:06:54.871257,2.62,0.22,38.8,21.4,8.4,2.2,0.161,1,0.511,0
D 046,T000429,2025-08-04T16:14:54.871257,2025-08-04T16:23:54.871257,4.55,0.13,17.1,8.9,10.7,22.9,0.223,0,0.65,0
D 003,T000430,2025-09-09T18:01:54.871257,2025-09-09T18:23:54.871257,9.68,0.36,19.2,11.7,2.8,15.5,0.072,0,0.802,0
D 168,T000431,2025-07-31T08:20:54.871257,2025-07-31T08:44:54.871257,1.35,0.0,36.7,3.6,18.0,3.7,0.157,0,0.397,0
D 146,T000432,2025-08-12T11:54:54.871257,2025-08-12T12:15:54.871257,1.05,0.07,44.8,14.3,11.7,20.1,0.109,1,0.692,0
D 054,T000433,2025-07-23T07:09:54.871257,2025-07-23T07:37:54.871257,3.09,0.05,28.6,10.1,13.5,11.1,0.16,0,0.418,0
D 145,T000434,2025-07-24T05:52:54.871257,2025-07-24T06:02:54.871257,8.6,0.09,55.6,13.1,11.4,8.9,0.262,0,0.548,0
D 166,T000435,2025-08-09T18:42:54.871257,2025-08-09T18:47:54.871257,0.76,0.01,35.1,2.9,0.0,15.4,0.078,0,0.252,0
D 045,T000436,2025-08-01T01:17:54.871257,2025-08-01T01:34:54.871257,2.19,0.19,37.4,1.5,18.1,18.2,0.078,0,0.322,0
D 136,T000437,2025-09-12T20:32:54.871257,2025-09-12T21:06:54.871257,2.78,0.52,36.5,3.6,11.5,2.1,0.105,1,0.752,0
D 016,T000438,2025-08-23T09:33:54.871257,2025-08-23T10:01:54.871257,11.85,0.56,41.0,5.4,8.8,12.0,0.079,0,0.032,0
D 075,T000439,2025-08-26T05:12:54.871257,2025-08-26T05:20:54.871257,1.31,0.12,33.3,0.0,9.6,13.1,0.151,0,0.422,0
D 198,T000440,2025-07-28T18:42:54.871257,2025-07-28T19:08:54.871257,2.61,0.26,38.6,16.0,7.0,10.2,0.078,0,0.51,0
D 059,T000441,2025-07-21T20:18:54.871257,2025-07-21T20:48:54.871257,2.87,0.44,32.6,1.8,1.4,20.6,0.342,0,0.466,1
D 031,T000442,2025-08-27T05:03:54.871257,2025-08-27T05:23:54.871257,2.07,0.06,38.1,0.0,8.2,12.2,0.169,0,0.7,1
D 016,T000443,2025-08-08T18:56:54.871257,2025-08-08T19:29:54.871257,2.2,0.08,23.2,2.2,13.4,21.5,0.064,0,0.485,0
D 103,T000444,2025-08-24T03:20:54.871257,2025-08-24T04:02:54.871257,1.81,0.17,34.4,8.3,1.9,8.7,0.056,0,0.007,0
D 058,T000445,2025-08-24T03:51:54.871257,2025-08-24T04:36:54.871257,0.5,0.15,38.7,9.1,14.8,14.0,0.174,0,0.437,1
D 024,T000446,2025-08-10T07:54:54.871257,2025-08-10T08:24:54.871257,4.33,0.56,31.4,0.0,10.0,5.6,0.105,0,0.313,0
D 116,T000447,2025-07-26T03:27:54.871257,2025-07-26T03:32:54.871257,6.5,1.26,26.8,3.4,13.9,17.1,0.276,0,0.45,0
D 018,T000448,2025-08-23T07:55:54.871257,2025-08-23T08:10:54.871257,3.0,0.16,38.2,9.1,10.1,4.8,0.21,0,0.381,0
D 171,T000449,2025-07-25T10:18:54.871257,2025-07-25T11:00:54.871257,1.33,0.03,40.9,5.5,0.0,11.8,0.059,0,0.688,0
D 003,T000450,2025-09-09T14:12:54.871257,2025-09-09T14:17:54.871257,1.92,0.04,32.7,24.7,7.5,14.2,0.289,0,0.307,0
D 031,T000451,2025-08-16T10:30:54.871257,2025-08-16T10:51:54.871257,3.45,0.22,27.8,0.0,5.6,16.3,0.063,1,0.537,0
D 193,T000452,2025-08-27T05:04:54.871257,2025-08-27T05:10:54.871257,12.87,2.19,32.0,0.0,10.8,17.2,0.233,0,0.425,0
D 060,T000453,2025-07-18T00:30:54.871257,2025-07-18T01:17:54.871257,6.01,1.57,33.5,3.9,10.2,17.7,0.58,0,0.566,0
D 152,T000454,2025-08-02T07:31:54.871257,2025-08-02T08:02:54.871257,3.67,0.54,38.1,3.9,8.4,10.9,0.039,0,0.376,0
D 085,T000455,2025-08-15T10:37:54.871257,2025-08-15T11:12:54.871257,1.93,0.3,18.7,1.2,5.0,13.0,0.187,1,0.368,0
D 167,T000456,2025-09-09T18:35:54.871257,2025-09-09T19:14:54.871257,5.09,0.72,17.2,5.1,6.8,9.6,0.21,0,0.273,0
D 035,T000457,2025-07-22T21:46:54.871257,2025-07-22T21:56:54.871257,0.86,0.11,33.2,1.6,13.7,3.7,0.168,0,0.269,0
D 156,T000458,2025-09-11T12:42:54.871257,2025-09-11T12:47:54.871257,7.54,2.09,31.7,6.7,7.3,18.6,0.044,0,0.563,0
D 074,T000459,2025-09-11T12:03:54.871257,2025-09-11T12:33:54.871257,4.66,0.09,39.4,0.1,6.2,22.2,0.268,0,0.168,0
D 196,T000460,2025-09-03T03:44:54.871257,2025-09-03T04:13:54.871257,1.97,0.39,24.4,16.9,4.9,3.3,0.29,0,0.296,0
D 180,T000461,2025-08-06T15:03:54.871257,2025-08-06T15:12:54.871257,1.56,0.09,38.3,0.9,13.1,2.9,0.158,0,0.541,0
D 081,T000462,2025-07-30T18:38:54.871257,2025-07-30T19:11:54.871257,0.97,0.18,40.2,0.7,11.6,9.3,0.162,0,0.214,0
D 101,T000463,2025-08-16T08:46:54.871257,2025-08-16T08:55:54.871257,1.84,0.28,34.5,21.8,0.0,10.0,0.078,0,0.16,0
D 165,T000464,2025-07-27T15:16:54.871257,2025-07-27T15:47:54.871257,3.91,0.16,26.4,0.0,2.4,22.3,0.187,0,0.263,1
D 171,T000465,2025-09-07T13:01:54.871257,2025-09-07T13:35:54.871257,2.5,0.01,27.9,5.3,3.9,2.5,0.239,0,0.426,0
D 081,T000466,2025-08-21T20:45:54.871257,2025-08-21T21:23:54.871257,5.25,0.26,40.9,11.9,9.3,9.3,0.134,0,0.501,0
D 190,T000467,2025-07-23T00:44:54.871257,2025-07-23T01:18:54.871257,4.01,0.82,41.0,0.0,8.2,0.0,0.055,0,0.407,0
D 074,T000468,2025-08-25T08:28:54.871257,2025-08-25T08:54:54.871257,1.63,0.15,38.7,15.7,2.7,11.9,0.114,1,0.588,0
D 037,T000469,2025-08-12T00:08:54.871257,2025-08-12T00:27:54.871257,2.53,0.46,32.4,3.9,7.2,8.2,0.263,0,0.391,0
D 030,T000470,2025-09-12T03:54:54.871257,2025-09-12T04:02:54.871257,5.41,0.43,42.0,2.2,14.0,8.4,0.07,0,0.369,0
D 192,T000471,2025-08-28T17:20:54.871257,2025-08-28T17:53:54.871257,2.8,0.19,36.2,3.1,11.5,5.3,0.123,0,0.352,0
D 191,T000472,2025-08-30T13:50:54.871257,2025-08-30T14:22:54.871257,2.03,0.03,44.2,2.6,6.6,9.7,0.118,0,0.051,0
D 115,T000473,2025-08-06T14:25:54.871257,2025-08-06T14:41:54.871257,0.98,0.24,41.0,1.5,13.5,11.9,0.132,0,0.122,0
D 014,T000474,2025-07-30T17:12:54.871257,2025-07-30T17:42:54.871257,1.38,0.04,33.1,14.6,4.6,0.0,0.117,0,0.539,0
D 035,T000475,2025-07-29T11:51:54.871257,2025-07-29T12:09:54.871257,2.65,0.08,34.4,2.0,11.0,7.5,0.037,0,0.252,0
D 170,T000476,2025-07-20T10:45:54.871257,2025-07-20T11:29:54.871257,4.38,0.78,26.3,2.9,12.6,15.0,0.206,0,0.675,0
D 112,T000477,2025-08-05T23:02:54.871257,2025-08-05T23:30:54.871257,5.13,0.96,35.6,0.0,5.3,17.9,0.12,0,0.365,1
D 038,T000478,2025-09-11T03:43:54.871257,2025-09-11T03:50:54.871257,4.08,0.35,34.3,4.5,10.9,4.4,0.302,0,0.614,0
D 003,T000479,2025-09-02T22:04:54.871257,2025-09-02T22:20:54.871257,1.55,0.49,32.8,4.4,12.1,11.2,0.192,0,0.635,0
D 086,T000480,2025-08-04T23:24:54.871257,2025-08-04T23:32:54.871257,2.73,0.88,32.4,6.4,9.7,18.7,0.043,0,0.212,1
D 102,T000481,2025-09-04T12:09:54.871257,2025-09-04T12:22:54.871257,5.53,0.18,34.0,0.3,7.5,18.0,0.099,0,0.419,0
D 050,T000482,2025-09-11T15:44:54.871257,2025-09-11T16:10:54.871257,2.46,0.01,41.5,0.0,5.2,7.2,0.235,0,0.414,0
D 153,T000483,2025-07-19T10:00:54.871257,2025-07-19T10:45:54.871257,4.01,0.12,17.7,2.8,2.5,4.4,0.076,1,0.265,0
D 096,T000484,2025-07-19T09:42:54.871257,2025-07-19T10:30:54.871257,3.31,0.07,38.0,0.9,4.9,7.7,0.165,0,0.569,0
D 048,T000485,2025-09-13T03:35:54.871257,2025-09-13T04:12:54.871257,3.37,0.32,23.3,5.2,10.0,21.6,0.243,0,0.481,0
D 137,T000486,2025-09-09T04:25:54.871257,2025-09-09T04:44:54.871257,5.97,0.72,38.0,7.9,9.9,0.1,0.288,0,0.383,0
D 093,T000487,2025-08-05T11:18:54.871257,2025-08-05T11:34:54.871257,4.82,0.27,41.9,9.6,13.2,5.2,0.518,0,0.476,1
D 051,T000488,2025-08-07T11:14:54.871257,2025-08-07T11:58:54.871257,2.63,0.07,32.5,2.6,5.1,10.2,0.141,1,0.426,0
D 175,T000489,2025-08-05T00:41:54.871257,2025-08-05T01:11:54.871257,4.33,0.39,40.3,0.0,7.1,21.2,0.163,0,0.612,0
D 176,T000490,2025-08-08T09:39:54.871257,2025-08-08T10:20:54.871257,4.12,0.32,25.7,0.0,7.8,8.2,0.202,1,0.844,0
D 187,T000491,2025-09-01T16:58:54.871257,2025-09-01T17:13:54.871257,12.11,1.41,26.7,3.2,3.6,14.5,0.167,0,0.207,1
D 047,T000492,2025-09-02T07:02:54.871257,2025-09-02T07:34:54.871257,3.95,0.04,30.8,6.4,17.0,7.8,0.066,0,0.671,0
D 102,T000493,2025-08-04T07:30:54.871257,2025-08-04T07:53:54.871257,3.98,1.7,34.9,1.7,10.3,15.3,0.126,0,0.204,0
D 087,T000494,2025-07-31T20:14:54.871257,2025-07-31T21:04:54.871257,1.34,0.03,37.0,1.8,13.9,13.4,0.253,0,0.218,1
D 138,T000495,2025-08-30T03:09:54.871257,2025-08-30T03:36:54.871257,1.97,0.75,36.4,8.9,8.5,7.4,0.117,0,0.426,0
D 000,T000496,2025-08-01T19:18:54.871257,2025-08-01T19:53:54.871257,2.55,0.1,28.5,2.4,0.0,22.5,0.263,0,0.424,1
D 066,T000497,2025-08-15T17:33:54.871257,2025-08-15T17:53:54.871257,2.2,0.07,39.7,0.0,11.7,12.2,0.395,0,0.755,0
D 072,T000498,2025-07-25T18:18:54.871257,2025-07-25T18:50:54.871257,3.24,0.22,21.9,0.8,9.0,12.3,0.051,0,0.0,0
D 091,T000499,2025-08-25T23:24:54.871257,2025-08-26T00:15:54.871257,6.11,0.71,24.5,5.3,9.9,13.4,0.04,0,0.564,0
D 128,T000500,2025-07-25T13:28:54.871257,2025-07-25T14:03:54.871257,3.85,0.15,46.3,1.2,11.5,7.3,0.062,0,0.112,0
D 065,T000501,2025-09-05T22:20:54.871257,2025-09-05T23:02:54.871257,2.62,0.22,34.8,2.4,1.5,7.7,0.137,0,0.392,0
D 113,T000502,2025-08-12T04:06:54.871257,2025-08-12T04:25:54.871257,1.04,0.19,38.6,0.0,1.0,17.5,0.295,0,0.892,0
D 048,T000503,2025-09-11T06:02:54.871257,2025-09-11T06:41:54.871257,3.63,0.02,29.2,0.0,12.0,9.8,0.129,0,0.547,0
D 185,T000504,2025-09-11T06:34:54.871257,2025-09-11T07:01:54.871257,5.98,0.0,49.4,2.3,1.6,3.3,0.065,0,0.354,0
D 088,T000505,2025-08-16T16:50:54.871257,2025-08-16T17:11:54.871257,2.65,0.02,43.0,6.8,15.1,11.0,0.024,0,0.39,0
D 118,T000506,2025-07-24T03:21:54.871257,2025-07-24T03:40:54.871257,3.02,0.55,34.7,3.4,8.8,12.9,0.277,0,0.673,0
D 109,T000507,2025-08-10T15:08:54.871257,2025-08-10T15:13:54.871257,0.91,0.05,32.2,0.0,0.0,16.1,0.214,0,0.508,0
D 105,T000508,2025-09-07T05:35:54.871257,2025-09-07T06:16:54.871257,1.44,0.07,37.6,4.2,2.7,13.8,0.21,0,0.405,0
D 166,T000509,2025-08-26T18:38:54.871257,2025-08-26T19:02:54.871257,3.1,0.6,35.5,0.6,9.3,0.9,0.124,0,0.7,0
D 147,T000510,2025-08-24T23:58:54.871257,2025-08-25T00:25:54.871257,1.84,0.18,24.3,4.1,12.8,18.9,0.14,1,0.617,0
D 064,T000511,2025-08-19T09:46:54.871257,2025-08-19T10:16:54.871257,4.2,0.41,20.6,0.0,9.0,0.0,0.188,0,0.467,0
D 124,T000512,2025-07-19T17:20:54.871257,2025-07-19T17:36:54.871257,3.58,0.21,41.0,0.0,10.7,8.3,0.212,0,0.107,0
D 012,T000513,2025-08-27T19:10:54.871257,2025-08-27T19:33:54.871257,3.43,0.11,29.4,8.5,7.1,0.8,0.036,0,0.256,0
D 117,T000514,2025-09-13T07:06:54.871257,2025-09-13T07:47:54.871257,1.91,0.03,31.3,0.0,13.2,9.6,0.142,0,0.105,0
D 025,T000515,2025-07-19T06:24:54.871257,2025-07-19T06:47:54.871257,4.51,0.13,38.4,19.5,10.0,12.6,0.035,0,0.476,0
D 157,T000516,2025-08-08T15:00:54.871257,2025-08-08T15:16:54.871257,3.88,0.1,31.6,5.8,2.4,5.5,0.186,0,0.15,0
D 172,T000517,2025-08-29T22:33:54.871257,2025-08-29T23:08:54.871257,3.0,0.43,41.5,4.8,5.9,5.7,0.186,0,0.444,0
D 188,T000518,2025-08-22T05:16:54.871257,2025-08-22T05:41:54.871257,5.07,0.49,28.8,0.0,13.2,0.0,0.2,0,0.51,0
D 170,T000519,2025-08-16T07:38:54.871257,2025-08-16T07:57:54.871257,1.29,0.01,29.5,16.6,0.0,12.7,0.017,0,0.574,0
D 179,T000520,2025-08-18T01:22:54.871257,2025-08-18T02:00:54.871257,5.67,1.89,41.0,12.1,5.1,19.8,0.474,0,0.061,1
D 036,T000521,2025-08-15T15:26:54.871257,2025-08-15T15:48:54.871257,4.98,0.27,25.2,6.2,5.9,11.1,0.263,0,0.407,0
D 149,T000522,2025-08-25T01:22:54.871257,2025-08-25T02:02:54.871257,1.91,0.58,27.2,10.8,4.1,14.7,0.19,0,0.57,0
D 021,T000523,2025-08-18T17:19:54.871257,2025-08-18T17:47:54.871257,4.77,1.58,28.4,4.8,6.4,3.9,0.317,1,0.719,0
D 002,T000524,2025-08-05T06:58:54.871257,2025-08-05T07:03:54.871257,2.32,0.03,49.9,8.2,13.0,5.0,0.148,0,0.513,0
D 023,T000525,2025-08-10T03:41:54.871257,2025-08-10T04:23:54.871257,3.34,0.6,30.4,7.1,0.0,8.3,0.09,0,0.385,0
D 141,T000526,2025-07-18T14:24:54.871257,2025-07-18T15:00:54.871257,2.08,0.22,45.0,6.2,11.0,11.1,0.105,1,0.483,0
D 068,T000527,2025-08-15T08:06:54.871257,2025-08-15T08:28:54.871257,2.54,0.13,26.8,16.4,4.7,8.7,0.507,0,0.588,0
D 100,T000528,2025-07-18T07:33:54.871257,2025-07-18T07:42:54.871257,3.84,0.05,39.0,12.8,8.9,0.0,0.139,0,0.262,0
D 142,T000529,2025-08-01T02:23:54.871257,2025-08-01T02:40:54.871257,2.69,0.51,39.0,4.1,4.9,5.0,0.127,0,0.434,0
D 017,T000530,2025-09-02T01:35:54.871257,2025-09-02T01:57:54.871257,1.16,0.02,29.4,22.0,9.4,9.4,0.007,0,0.465,0
D 026,T000531,2025-09-05T00:28:54.871257,2025-09-05T01:27:54.871257,6.51,0.23,36.5,4.9,7.2,8.3,0.174,0,0.724,0
D 122,T000532,2025-07-26T15:05:54.871257,2025-07-26T15:45:54.871257,3.17,0.0,38.5,13.1,17.4,11.8,0.335,1,0.599,1
D 077,T000533,2025-07-23T11:39:54.871257,2025-07-23T12:07:54.871257,4.61,0.01,39.5,4.2,15.1,4.8,0.042,0,0.252,0
D 104,T000534,2025-07-25T14:00:54.871257,2025-07-25T14:40:54.871257,4.7,0.22,31.1,0.0,10.6,19.9,0.305,0,0.185,0
D 176,T000535,2025-09-13T04:36:54.871257,2025-09-13T05:04:54.871257,2.62,0.65,38.7,6.9,6.7,9.9,0.127,1,0.779,0
D 003,T000536,2025-08-09T09:20:54.871257,2025-08-09T09:46:54.871257,11.86,1.66,29.2,0.1,10.1,17.0,0.223,0,0.213,0
D 030,T000537,2025-09-04T17:22:54.871257,2025-09-04T18:14:54.871257,5.38,0.22,31.4,0.0,12.3,3.7,0.068,0,0.664,0
D 029,T000538,2025-09-06T15:17:54.871257,2025-09-06T16:10:54.871257,8.51,0.74,40.3,3.0,8.5,6.9,0.077,0,0.387,0
D 078,T000539,2025-09-08T16:18:54.871257,2025-09-08T16:47:54.871257,0.5,0.03,30.0,8.5,2.5,3.3,0.111,0,0.534,0
D 150,T000540,2025-08-17T13:35:54.871257,2025-08-17T13:58:54.871257,2.69,0.05,32.8,0.9,10.7,13.9,0.42,0,0.374,1
D 064,T000541,2025-07-28T16:51:54.871257,2025-07-28T16:56:54.871257,3.76,0.7,24.9,3.3,4.3,20.5,0.268,0,0.508,1
D 125,T000542,2025-08-11T10:37:54.871257,2025-08-11T11:02:54.871257,2.49,0.58,29.3,0.0,7.6,4.3,0.027,0,0.251,0
D 191,T000543,2025-07-30T19:58:54.871257,2025-07-30T20:11:54.871257,2.46,0.47,43.7,1.0,10.7,7.2,0.384,1,0.587,0
D 085,T000544,2025-07-26T22:25:54.871257,2025-07-26T22:36:54.871257,2.44,0.56,35.5,0.0,8.6,10.0,0.128,0,0.663,0
D 089,T000545,2025-08-18T00:36:54.871257,2025-08-18T01:06:54.871257,4.04,1.44,29.3,7.5,13.2,13.2,0.024,1,0.509,0
D 087,T000546,2025-07-26T23:40:54.871257,2025-07-27T00:16:54.871257,5.74,1.57,24.3,1.0,16.4,4.3,0.095,0,0.258,0
D 184,T000547,2025-09-10T18:38:54.871257,2025-09-10T19:19:54.871257,5.07,0.44,49.5,0.0,6.8,3.6,0.057,0,0.222,0
D 108,T000548,2025-08-31T16:53:54.871257,2025-08-31T17:18:54.871257,5.48,0.17,34.7,0.0,14.5,1.1,0.14,0,0.621,0
D 111,T000549,2025-08-24T01:00:54.871257,2025-08-24T01:29:54.871257,1.66,0.28,41.7,7.9,0.0,7.5,0.214,0,0.16,0
D 121,T000550,2025-08-31T20:53:54.871257,2025-08-31T20:58:54.871257,1.53,0.01,19.7,5.5,15.1,3.0,0.229,1,0.378,0
D 074,T000551,2025-08-13T00:11:54.871257,2025-08-13T00:30:54.871257,1.16,0.08,36.8,5.0,5.8,13.7,0.157,0,0.417,0
D 063,T000552,2025-08-11T18:51:54.871257,2025-08-11T19:11:54.871257,3.67,0.1,44.4,0.0,0.0,10.7,0.201,0,0.658,0
D 064,T000553,2025-07-18T17:31:54.871257,2025-07-18T17:40:54.871257,5.11,0.64,27.5,2.5,9.7,13.0,0.159,0,0.252,0
D 149,T000554,2025-08-05T02:54:54.871257,2025-08-05T03:24:54.871257,0.77,0.12,17.9,0.0,8.9,11.8,0.198,0,0.511,0
D 166,T000555,2025-08-02T16:29:54.871257,2025-08-02T16:49:54.871257,3.55,0.39,35.8,0.0,13.8,8.4,0.039,0,0.022,0
D 116,T000556,2025-08-19T23:29:54.871257,2025-08-19T23:38:54.871257,2.04,0.8,32.5,18.4,9.7,16.7,0.143,0,0.067,1
D 104,T000557,2025-08-05T13:45:54.871257,2025-08-05T14:02:54.871257,4.9,0.57,25.8,0.4,5.7,7.6,0.229,0,0.433,0
D 121,T000558,2025-08-08T19:22:54.871257,2025-08-08T19:47:54.871257,2.47,0.12,42.0,4.0,10.9,5.9,0.202,0,0.548,1
D 159,T000559,2025-07-30T23:29:54.871257,2025-07-31T00:00:54.871257,1.96,0.68,44.0,1.8,0.4,9.6,0.152,0,0.55,0
D 175,T000560,2025-07-23T19:17:54.871257,2025-07-23T19:22:54.871257,2.84,0.54,40.7,2.0,9.6,5.9,0.023,0,0.527,0
D 020,T000561,2025-09-10T19:43:54.871257,2025-09-10T20:06:54.871257,1.11,0.22,30.9,0.8,9.5,0.0,0.176,0,0.846,0
D 190,T000562,2025-08-28T22:43:54.871257,2025-08-28T23:26:54.871257,1.79,0.22,9.6,0.7,2.5,22.3,0.122,0,0.079,0
D 006,T000563,2025-07-27T07:35:54.871257,2025-07-27T08:20:54.871257,7.4,0.9,38.5,1.5,6.7,7.0,0.135,0,0.478,0
D 146,T000564,2025-08-06T14:40:54.871257,2025-08-06T15:01:54.871257,4.31,0.92,28.7,5.2,2.6,9.4,0.13,0,0.575,0
D 072,T000565,2025-07-29T08:53:54.871257,2025-07-29T09:09:54.871257,2.62,0.05,35.0,2.4,6.6,16.2,0.217,0,0.243,0
D 045,T000566,2025-07-25T16:26:54.871257,2025-07-25T16:49:54.871257,2.61,0.05,31.9,4.2,15.3,11.0,0.155,0,0.369,0
D 042,T000567,2025-07-26T17:34:54.871257,2025-07-26T18:11:54.871257,3.18,0.46,31.2,0.0,7.8,16.8,0.395,0,0.232,1
D 178,T000568,2025-08-28T14:19:54.871257,2025-08-28T14:36:54.871257,1.57,0.06,38.7,0.0,10.3,16.5,0.173,0,0.308,0
D 123,T000569,2025-09-06T00:58:54.871257,2025-09-06T01:04:54.871257,1.45,0.22,31.2,9.9,8.3,5.8,0.132,0,0.956,0
D 192,T000570,2025-08-02T19:18:54.871257,2025-08-02T20:06:54.871257,2.72,0.2,30.0,5.0,4.3,3.0,0.147,0,0.409,0
D 170,T000571,2025-09-08T22:24:54.871257,2025-09-08T23:04:54.871257,4.75,0.82,40.3,13.4,7.0,15.1,0.178,0,0.249,0
D 155,T000572,2025-08-14T01:57:54.871257,2025-08-14T02:32:54.871257,3.8,0.5,25.8,0.8,12.1,21.0,0.217,0,0.291,0
D 001,T000573,2025-08-19T21:49:54.871257,2025-08-19T22:31:54.871257,2.74,0.19,46.9,3.6,11.1,9.0,0.131,0,0.494,0
D 107,T000574,2025-08-17T07:58:54.871257,2025-08-17T08:04:54.871257,5.96,0.04,35.7,10.1,11.8,7.1,0.115,0,0.374,0
D 050,T000575,2025-08-18T09:37:54.871257,2025-08-18T10:05:54.871257,3.94,0.81,24.6,0.0,14.1,6.4,0.139,0,0.627,1
D 162,T000576,2025-07-17T03:39:54.871257,2025-07-17T04:17:54.871257,5.03,2.64,32.3,0.0,8.9,17.3,0.205,0,0.311,1
D 142,T000577,2025-08-09T12:46:54.871257,2025-08-09T13:11:54.871257,3.08,0.05,31.9,6.6,0.4,10.7,0.206,0,0.34,0
D 101,T000578,2025-09-09T16:56:54.871257,2025-09-09T17:31:54.871257,1.4,0.06,32.6,0.0,6.5,12.7,0.285,0,0.475,1
D 194,T000579,2025-08-30T10:33:54.871257,2025-08-30T10:46:54.871257,7.34,0.45,30.6,1.3,14.1,0.0,0.262,0,0.277,0
D 049,T000580,2025-08-28T03:21:54.871257,2025-08-28T03:36:54.871257,1.66,0.3,29.7,0.4,5.3,4.9,0.219,0,0.411,0
D 192,T000581,2025-09-05T04:11:54.871257,2025-09-05T04:59:54.871257,5.76,2.0,41.8,7.1,5.1,12.2,0.416,0,0.468,0
D 036,T000582,2025-07-29T00:25:54.871257,2025-07-29T00:50:54.871257,6.13,2.46,41.3,0.0,0.0,3.8,0.259,0,0.321,0
D 074,T000583,2025-08-07T07:09:54.871257,2025-08-07T07:59:54.871257,1.3,0.01,32.1,9.2,11.3,13.1,0.136,1,0.654,1
D 080,T000584,2025-09-12T11:54:54.871257,2025-09-12T12:11:54.871257,2.54,0.32,24.8,4.3,8.3,19.7,0.122,0,0.182,0
D 096,T000585,2025-07-29T23:12:54.871257,2025-07-29T23:31:54.871257,1.35,0.61,38.0,10.0,7.4,8.3,0.255,0,0.068,0
D 184,T000586,2025-08-26T10:03:54.871257,2025-08-26T10:08:54.871257,1.68,0.27,33.2,3.8,10.3,7.1,0.348,0,0.659,0
D 167,T000587,2025-09-02T05:11:54.871257,2025-09-02T05:37:54.871257,1.87,0.08,40.1,1.5,11.1,2.7,0.141,0,0.285,0
D 114,T000588,2025-08-06T19:08:54.871257,2025-08-06T19:52:54.871257,3.64,0.31,29.0,0.0,17.5,12.0,0.069,0,0.418,0
D 158,T000589,2025-09-02T08:20:54.871257,2025-09-02T09:07:54.871257,1.47,0.2,37.1,10.6,17.2,8.7,0.302,1,0.506,1
D 005,T000590,2025-08-31T07:34:54.871257,2025-08-31T07:56:54.871257,2.25,0.37,42.0,10.7,5.1,19.9,0.159,1,0.706,0
D 122,T000591,2025-07-18T11:42:54.871257,2025-07-18T12:14:54.871257,6.05,1.36,28.2,0.8,14.9,12.5,0.105,0,0.367,0
D 132,T000592,2025-07-29T13:25:54.871257,2025-07-29T13:40:54.871257,4.84,0.13,39.2,6.1,9.0,10.3,0.307,0,0.266,0
D 039,T000593,2025-08-20T18:41:54.871257,2025-08-20T18:58:54.871257,7.78,0.11,50.8,0.0,8.4,15.3,0.386,0,0.03,0
D 065,T000594,2025-07-22T12:06:54.871257,2025-07-22T12:33:54.871257,2.78,0.11,23.8,0.0,9.2,8.5,0.102,0,0.379,0
D 011,T000595,2025-08-24T02:17:54.871257,2025-08-24T02:42:54.871257,2.9,0.24,23.7,0.0,1.1,12.5,0.251,0,0.262,1
D 106,T000596,2025-08-04T00:28:54.871257,2025-08-04T00:53:54.871257,2.72,0.47,27.6,10.4,2.1,17.8,0.228,0,0.366,1
D 179,T000597,2025-09-12T15:53:54.871257,2025-09-12T16:25:54.871257,3.16,0.91,31.9,4.7,2.5,0.0,0.295,0,0.396,0
D 192,T000598,2025-08-11T17:52:54.871257,2025-08-11T18:03:54.871257,6.16,0.54,19.7,4.6,0.0,5.9,0.313,1,1.005,0
D 094,T000599,2025-07-29T13:08:54.871257,2025-07-29T13:13:54.871257,1.51,0.15,18.6,0.0,9.8,14.1,0.146,1,0.561,1
D 141,T000600,2025-09-03T17:26:54.871257,2025-09-03T18:10:54.871257,2.46,0.59,24.2,4.0,14.5,7.9,0.109,0,0.484,0
D 097,T000601,2025-09-02T01:05:54.871257,2025-09-02T01:34:54.871257,2.11,0.11,20.4,2.1,2.4,10.8,0.096,0,0.19,0
D 109,T000602,2025-08-02T13:21:54.871257,2025-08-02T13:50:54.871257,4.3,0.27,28.9,10.1,13.8,12.5,0.036,0,0.651,0
D 062,T000603,2025-08-01T10:22:54.871257,2025-08-01T10:42:54.871257,5.85,0.1,35.0,0.0,16.0,6.8,0.17,0,0.265,0
D 087,T000604,2025-09-04T16:47:54.871257,2025-09-04T17:15:54.871257,2.85,0.22,42.7,1.4,0.9,14.6,0.101,0,0.037,0
D 064,T000605,2025-09-13T03:16:54.871257,2025-09-13T03:24:54.871257,11.13,2.21,36.7,0.0,5.3,3.5,0.074,0,0.45,0
D 161,T000606,2025-09-10T19:55:54.871257,2025-09-10T20:28:54.871257,1.72,0.0,41.2,11.5,10.0,9.0,0.091,0,0.425,0
D 142,T000607,2025-09-10T13:43:54.871257,2025-09-10T13:54:54.871257,3.67,0.22,32.4,3.2,9.5,9.6,0.454,0,0.535,0
